0000,082,781.30,752.70,358.3,905.6
0000,093,1385.20,955.09,336.0,778.61
0001,082,783.20,747.22,380.2,905.61
0001,093,1385.20,942.32,336.0,778.6
0002,082,796.00,738.10,378.35,905.6
0002,093,1383.38,931.37,336.0,778.61
0003,082,798.90,739.62,384.58,905.6
0003,093,1390.98,917.68,336.0,778.61
0004,082,804.40,736.58,383.64,905.6
0004,093,1400.10,908.55,336.0,778.61
0005,082,810.00,730.50,387.16,905.6
0005,093,1404.67,901.08,336.0,778.61
0006,082,813.90,736.58,385.1,905.6
0006,093,1406.19,896.39,336.0,778.61
0007,082,804.20,736.58,397.99,905.6
0007,093,1403.02,896.39,336.0,778.61
0008,082,815.63,744.05,387.7,905.6
0008,093,1405.66,896.39,336.0,778.61
0009,082,822.60,751.37,383.26,905.6
0009,093,1408.30,896.39,336.0,778.61
0010,082,839.50,743.97,383.26,905.61
0010,093,1407.24,896.39,336.0,778.61
0011,082,847.95,733.41,383.26,905.6
0011,093,1408.65,896.04,336.0,778.61
0012,082,847.95,727.08,388.54,905.6
0012,093,1410.06,895.68,336.0,778.62
0013,082,856.40,714.40,394.9,905.61
0013,093,1411.47,895.33,336.0,778.61
0014,082,856.40,710.18,401.2,905.6
0014,093,1410.94,893.22,336.0,778.61
0015,082,855.34,705.96,408.56,905.6
0015,093,1410.41,891.11,336.0,778.61
0016,082,870.12,709.15,408.57,903.46
0016,093,1408.30,875.30,337.05,776.46
0017,082,874.35,709.15,410.65,903.46
0017,093,1400.87,864.74,347.65,776.46
0018,082,877.52,714.40,412.81,900.32
0018,093,1402.98,854.18,347.65,776.46
0019,082,901.80,718.62,399.1,900.33
0019,093,1407.20,832.00,359.3,776.46
0020,082,909.19,720.74,397.01,900.32
0020,093,1407.20,826.71,359.3,776.47
0021,082,912.36,717.57,397.01,900.32
0021,093,1407.20,821.44,359.3,776.46
0022,082,921.87,712.29,390.63,900.32
0022,093,1407.20,816.15,359.3,776.47
0023,082,932.43,693.28,389.57,900.32
0023,093,1407.20,811.93,359.3,776.46
0024,082,935.60,680.60,386.4,900.33
0024,093,1414.59,809.82,359.3,776.46
0025,082,940.88,673.21,386.4,900.32
0025,093,1419.87,808.76,359.3,776.46
0026,082,960.24,659.13,386.4,900.32
0026,093,1424.10,808.23,350.3,776.46
0027,082,965.77,655.14,383.84,900.32
0027,093,1428.32,807.70,349.78,776.47
0028,082,971.30,651.15,381.28,900.32
0028,093,1427.27,807.70,352.93,776.47
0029,082,980.10,658.19,376.9,900.32
0029,093,1424.63,795.38,358.17,776.46
0030,082,990.66,664.35,372.54,900.32
0030,093,1425.51,778.66,359.97,776.46
0031,082,983.60,663.47,378.72,900.32
0031,093,1421.10,768.98,363.5,776.46
0032,082,983.60,663.47,380.5,900.32
0032,093,1416.66,758.42,369.7,776.46
0033,082,1004.72,651.15,355.88,900.32
0033,093,1412.30,739.94,382.0,776.46
0033,028,-37.24,1033.19,255.3,437.7
0034,082,1002.96,644.11,347.04,900.32
0034,093,1411.42,733.78,382.88,776.46
0034,028,-38.12,1016.46,255.3,437.7
0035,082,1001.20,634.42,342.6,900.33
0035,093,1410.54,725.85,388.16,776.47
0035,028,-39.00,1011.19,255.3,437.7
0036,082,999.44,623.86,343.46,900.32
0036,093,1404.40,725.85,389.9,776.47
0036,028,-21.40,1003.26,255.3,437.7
0037,082,1006.50,620.34,350.5,900.33
0037,093,1400.90,722.33,393.4,730.87
0037,028,-18.76,997.98,255.3,437.7
0038,082,1007.38,619.46,354.32,843.74
0038,093,1396.50,722.33,392.52,776.46
0038,028,-16.12,991.82,255.3,437.7
0039,082,1007.38,619.46,369.02,840.14
0039,093,1395.62,720.57,392.52,776.46
0039,028,-4.68,986.54,255.3,437.7
0040,082,1009.10,618.58,366.42,810.92
0040,093,1401.80,718.81,384.58,776.46
0040,028,0.60,981.26,255.3,437.7
0041,082,1008.22,620.34,387.58,801.76
0041,093,1409.70,711.77,370.5,776.46
0041,028,5.00,974.22,255.3,437.7
0042,082,1025.80,624.74,365.6,801.76
0042,093,1423.80,700.33,339.7,688.87
0042,028,10.28,961.02,255.3,437.7
0043,082,1038.10,628.26,358.6,798.14
0043,093,1415.00,692.41,342.3,697.99
0043,028,11.16,953.10,255.3,437.7
0044,082,1043.40,628.26,354.2,678.24
0044,093,1415.90,685.37,341.4,665.43
0044,028,14.69,944.30,255.3,437.7
0045,082,1060.98,626.50,337.5,641.8
0045,093,1409.20,679.87,353.6,638.03
0045,028,16.45,937.26,255.3,437.7
0046,082,1078.10,610.00,316.1,710.2
0046,093,1408.00,673.14,358.5,694.36
0046,028,34.05,923.18,255.3,437.7
0047,082,1085.30,603.89,308.8,611.91
0047,093,1402.10,673.14,364.4,628.96
0047,028,44.61,917.02,255.3,437.7
0048,082,1097.00,595.09,295.6,582.41
0048,093,1402.10,673.14,367.3,580.26
0048,028,49.89,913.50,255.3,437.7
0049,082,1108.00,581.15,300.7,606.75
0049,093,1421.20,675.34,354.1,568.06
0049,028,71.01,900.29,255.3,437.7
0050,082,1113.50,577.48,299.8,609.82
0050,093,1421.20,678.28,356.3,562.02
0050,028,81.58,894.13,255.3,437.7
0051,082,1117.20,577.48,296.6,637.12
0051,093,1438.10,681.95,341.6,574.15
0051,028,96.54,883.57,255.3,437.7
0052,082,1126.00,579.68,301.2,663.12
0052,093,1450.60,679.02,333.5,604.58
0052,028,100.94,878.29,255.3,437.7
0053,082,1127.46,581.15,304.44,666.15
0053,093,1451.70,674.98,333.9,587.92
0053,028,115.90,868.61,255.3,437.7
0054,082,1130.40,585.55,322.8,660.05
0054,093,1453.79,663.47,332.1,631.93
0054,028,126.46,864.21,255.3,437.7
0055,082,1135.50,591.42,318.1,663.08
0055,093,1456.40,657.01,329.2,598.49
0055,028,129.98,859.81,255.3,437.7
0056,082,1135.50,598.76,318.1,676.74
0056,093,1459.57,648.57,324.98,598.48
0056,028,145.82,849.25,255.3,437.7
0057,082,1136.77,594.95,318.1,676.75
0057,093,1462.74,640.12,320.76,598.48
0057,028,150.22,845.73,255.3,437.7
0057,059,-441.94,375.12,453.34,823.46
0058,082,1134.70,590.73,310.7,676.74
0058,093,1461.68,639.06,321.82,598.49
0058,028,154.60,843.97,257.96,437.7
0058,059,-433.64,394.09,453.34,823.46
0059,082,1129.40,579.11,288.5,676.75
0059,093,1443.70,639.06,331.3,598.49
0059,028,155.50,817.56,285.2,437.7
0059,059,-425.34,413.06,453.34,823.46
0060,082,1127.29,569.61,283.21,676.74
0060,093,1440.50,639.06,329.2,598.49
0060,028,156.38,810.52,288.72,437.7
0060,059,-417.04,432.04,453.34,823.46
